days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39996,4,0,0
2,39991,9,0,0
3,39978,22,0,0
4,39961,39,0,0
5,39917,83,0,0
6,39806,194,0,0
7,39528,471,1,0
8,38827,1169,4,0
9,37158,2833,9,0
10,33335,6643,22,0
11,25920,14041,39,0
12,14989,24928,83,0
13,5412,34394,194,0
14,1399,38129,472,0
15,277,38550,1173,0
16,66,37092,2842,0
17,11,33324,6665,0
18,2,25918,14080,0
19,0,14989,25011,0
20,0,5412,34588,0
21,0,1399,38601,0
22,0,277,39723,0
23,0,66,39934,0
24,0,11,39989,0
25,0,2,39998,0
26,0,0,40000,0
27,0,0,40000,0
28,0,0,40000,0
29,0,0,40000,0
30,0,0,40000,0
31,0,0,40000,0
32,0,0,40000,0
33,0,0,40000,0
34,0,0,40000,0
35,0,0,40000,0
36,0,0,40000,0
37,0,0,40000,0
38,0,0,40000,0
39,0,0,40000,0
40,0,0,40000,0
