days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39999,1,0,0
2,39998,2,0,0
3,39998,2,0,0
4,39998,2,0,0
5,39998,2,0,0
6,39996,4,0,0
7,39995,4,1,0
8,39994,5,1,0
9,39993,5,2,0
10,39989,9,2,0
11,39985,13,2,0
12,39982,16,2,0
13,39973,23,4,0
14,39969,26,5,0
15,39955,39,6,0
16,39937,56,7,0
17,39909,80,11,0
18,39872,113,15,0
19,39829,153,18,0
20,39768,205,27,0
21,39701,268,31,0
22,39594,361,45,0
23,39455,482,63,0
24,39272,637,91,0
25,39023,849,128,0
26,38684,1145,171,0
27,38272,1496,232,0
28,37701,2000,299,0
29,36949,2645,406,0
30,35999,3456,545,0
31,34840,4432,728,0
32,33360,5663,977,0
33,31612,7072,1316,0
34,29520,8752,1728,0
35,27142,10559,2299,0
36,24452,12497,3051,0
37,21637,14362,4001,0
38,18777,16063,5160,0
39,16087,17273,6640,0
40,13478,18134,8388,0
