days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39997,3,0,0
2,39995,5,0,0
3,39989,11,0,0
4,39986,14,0,0
5,39972,28,0,0
6,39955,45,0,0
7,39918,81,1,0
8,39824,173,3,0
9,39667,328,5,0
10,39392,597,11,0
11,38862,1124,14,0
12,37850,2122,28,0
13,35969,3986,45,0
14,32654,7264,82,0
15,27527,12297,176,0
16,20383,19284,333,0
17,12766,26626,608,0
18,6666,32196,1138,0
19,2955,34895,2150,0
20,1214,34755,4031,0
21,469,32185,7346,0
22,191,27336,12473,0
23,91,20292,19617,0
24,51,12715,27234,0
25,40,6626,33334,0
26,32,2923,37045,0
27,29,1185,38786,0
28,26,443,39531,0
29,25,166,39809,0
30,25,66,39909,0
31,25,26,39949,0
32,25,15,39960,0
33,25,7,39968,0
34,25,4,39971,0
35,25,1,39974,0
36,25,0,39975,0
37,25,0,39975,0
38,25,0,39975,0
39,25,0,39975,0
40,25,0,39975,0
