days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39997,3,0,0
2,39995,5,0,0
3,39987,13,0,0
4,39982,18,0,0
5,39960,40,0,0
6,39932,68,0,0
7,39859,140,1,0
8,39682,315,3,0
9,39317,678,5,0
10,38604,1383,13,0
11,37125,2857,18,0
12,34288,5672,40,0
13,29167,10765,68,0
14,21265,18594,141,0
15,12407,27275,318,0
16,5510,33807,683,0
17,1980,36624,1396,0
18,650,36475,2875,0
19,200,34088,5712,0
20,72,29095,10833,0
21,34,21231,18735,0
22,18,12389,27593,0
23,11,5499,34490,0
24,9,1971,38020,0
25,9,641,39350,0
26,9,191,39800,0
27,9,63,39928,0
28,9,25,39966,0
29,9,9,39982,0
30,9,2,39989,0
31,9,0,39991,0
32,9,0,39991,0
33,9,0,39991,0
34,9,0,39991,0
35,9,0,39991,0
36,9,0,39991,0
37,9,0,39991,0
38,9,0,39991,0
39,9,0,39991,0
40,9,0,39991,0
