days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39996,4,0,0
2,39991,9,0,0
3,39977,23,0,0
4,39953,47,0,0
5,39879,121,0,0
6,39706,294,0,0
7,39235,764,1,0
8,37956,2040,4,0
9,34803,5188,9,0
10,27803,12174,23,0
11,16482,23471,47,0
12,5724,34155,121,0
13,1185,38521,294,0
14,217,39018,765,0
15,31,37925,2044,0
16,6,34797,5197,0
17,0,27803,12197,0
18,0,16482,23518,0
19,0,5724,34276,0
20,0,1185,38815,0
21,0,217,39783,0
22,0,31,39969,0
23,0,6,39994,0
24,0,0,40000,0
25,0,0,40000,0
26,0,0,40000,0
27,0,0,40000,0
28,0,0,40000,0
29,0,0,40000,0
30,0,0,40000,0
31,0,0,40000,0
32,0,0,40000,0
33,0,0,40000,0
34,0,0,40000,0
35,0,0,40000,0
36,0,0,40000,0
37,0,0,40000,0
38,0,0,40000,0
39,0,0,40000,0
40,0,0,40000,0
