days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39998,2,0,0
2,39997,3,0,0
3,39994,6,0,0
4,39994,6,0,0
5,39991,9,0,0
6,39986,14,0,0
7,39980,19,1,0
8,39968,30,2,0
9,39954,43,3,0
10,39935,59,6,0
11,39899,95,6,0
12,39847,144,9,0
13,39770,216,14,0
14,39656,324,20,0
15,39482,486,32,0
16,39215,739,46,0
17,38813,1122,65,0
18,38147,1752,101,0
19,37217,2630,153,0
20,35770,4000,230,0
21,33809,5847,344,0
22,31084,8398,518,0
23,27589,11626,785,0
24,23299,15514,1187,0
25,18568,19579,1853,0
26,13877,23340,2783,0
27,9833,25937,4230,0
28,6632,27177,6191,0
29,4352,26732,8916,0
30,2872,24717,12411,0
31,1933,21366,16701,0
32,1408,17160,21432,0
33,1084,12793,26123,0
34,899,8934,30167,0
35,778,5854,33368,0
36,709,3643,35648,0
37,671,2201,37128,0
38,644,1289,38067,0
39,634,774,38592,0
40,621,463,38916,0
