days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39997,3,0,0
2,39994,6,0,0
3,39985,15,0,0
4,39978,22,0,0
5,39950,50,0,0
6,39903,97,0,0
7,39794,205,1,0
8,39517,480,3,0
9,38890,1104,6,0
10,37477,2508,15,0
11,34507,5471,22,0
12,28730,11220,50,0
13,19538,20365,97,0
14,9667,30127,206,0
15,3373,36144,483,0
16,886,38004,1110,0
17,215,37262,2523,0
18,56,34451,5493,0
19,15,28715,11270,0
20,7,19531,20462,0
21,4,9663,30333,0
22,3,3370,36627,0
23,3,883,39114,0
24,2,213,39785,0
25,2,54,39944,0
26,2,13,39985,0
27,2,5,39993,0
28,2,2,39996,0
29,2,1,39997,0
30,2,1,39997,0
31,2,0,39998,0
32,2,0,39998,0
33,2,0,39998,0
34,2,0,39998,0
35,2,0,39998,0
36,2,0,39998,0
37,2,0,39998,0
38,2,0,39998,0
39,2,0,39998,0
40,2,0,39998,0
