days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39999,1,0,0
2,39999,1,0,0
3,39999,1,0,0
4,39999,1,0,0
5,39999,1,0,0
6,39999,1,0,0
7,39997,2,1,0
8,39996,3,1,0
9,39993,6,1,0
10,39989,10,1,0
11,39979,20,1,0
12,39956,43,1,0
13,39926,73,1,0
14,39881,116,3,0
15,39800,196,4,0
16,39642,351,7,0
17,39373,616,11,0
18,38920,1059,21,0
19,38146,1810,44,0
20,36775,3151,74,0
21,34458,5423,119,0
22,30964,8836,200,0
23,26095,13547,358,0
24,19970,19403,627,0
25,13604,25316,1080,0
26,8194,29952,1854,0
27,4498,32277,3225,0
28,2397,32061,5542,0
29,1240,29724,9036,0
30,692,25403,13905,0
31,392,19578,20030,0
32,267,13337,26396,0
33,202,7992,31806,0
34,169,4329,35502,0
35,152,2245,37603,0
36,142,1098,38760,0
37,139,553,39308,0
38,139,253,39608,0
39,139,128,39733,0
40,138,64,39798,0
41,138,31,39831,0
42,138,14,39848,0
43,138,4,39858,0
44,138,1,39861,0
45,138,1,39861,0
46,138,1,39861,0
47,138,0,39862,0
