days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39997,3,0,0
2,39988,12,0,0
3,39967,33,0,0
4,39920,80,0,0
5,39813,187,0,0
6,39565,435,0,0
7,38981,1018,1,0
8,37674,2323,3,0
9,34809,5179,12,0
10,29130,10837,33,0
11,20037,19883,80,0
12,10029,29784,187,0
13,3547,36018,435,0
14,980,38001,1019,0
15,254,37420,2326,0
16,71,34738,5191,0
17,17,29113,10870,0
18,5,20032,19963,0
19,3,10026,29971,0
20,1,3546,36453,0
21,1,979,39020,0
22,1,253,39746,0
23,1,70,39929,0
24,1,16,39983,0
25,1,4,39995,0
26,1,2,39997,0
27,1,0,39999,0
28,1,0,39999,0
29,1,0,39999,0
30,1,0,39999,0
31,1,0,39999,0
32,1,0,39999,0
33,1,0,39999,0
34,1,0,39999,0
35,1,0,39999,0
36,1,0,39999,0
37,1,0,39999,0
38,1,0,39999,0
39,1,0,39999,0
40,1,0,39999,0
41,1,0,39999,0
42,1,0,39999,0
43,1,0,39999,0
44,1,0,39999,0
45,1,0,39999,0
46,1,0,39999,0
47,1,0,39999,0
48,1,0,39999,0
49,1,0,39999,0
50,1,0,39999,0
51,1,0,39999,0
52,1,0,39999,0
53,1,0,39999,0
54,1,0,39999,0
55,1,0,39999,0
56,1,0,39999,0
57,1,0,39999,0
58,1,0,39999,0
59,1,0,39999,0
60,1,0,39999,0
61,1,0,39999,0
62,1,0,39999,0
63,1,0,39999,0
64,1,0,39999,0
65,1,0,39999,0
66,1,0,39999,0
67,1,0,39999,0
68,1,0,39999,0
69,1,0,39999,0
70,1,0,39999,0
71,1,0,39999,0
72,1,0,39999,0
73,1,0,39999,0
74,1,0,39999,0
75,1,0,39999,0
76,1,0,39999,0
77,1,0,39999,0
78,1,0,39999,0
79,1,0,39999,0
80,1,0,39999,0
81,1,0,39999,0
82,1,0,39999,0
83,1,0,39999,0
84,1,0,39999,0
85,1,0,39999,0
86,1,0,39999,0
87,1,0,39999,0
88,1,0,39999,0
89,1,0,39999,0
90,1,0,39999,0
91,1,0,39999,0
92,1,0,39999,0
93,1,0,39999,0
94,1,0,39999,0
95,1,0,39999,0
96,1,0,39999,0
97,1,0,39999,0
98,1,0,39999,0
99,1,0,39999,0
100,1,0,39999,0
