days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39996,4,0,0
2,39988,12,0,0
3,39969,31,0,0
4,39929,71,0,0
5,39846,154,0,0
6,39690,310,0,0
7,39312,687,1,0
8,38517,1479,4,0
9,36869,3119,12,0
10,33573,6396,31,0
11,27745,12184,71,0
12,19337,20509,154,0
13,10481,29209,310,0
14,4339,34973,688,0
15,1543,36974,1483,0
16,522,36347,3131,0
17,177,33396,6427,0
18,61,27684,12255,0
19,28,19309,20663,0
20,9,10472,29519,0
21,7,4332,35661,0
22,6,1537,38457,0
23,5,517,39478,0
24,5,172,39823,0
25,5,56,39939,0
26,5,23,39972,0
27,5,4,39991,0
28,5,2,39993,0
29,5,1,39994,0
30,5,0,39995,0
31,5,0,39995,0
32,5,0,39995,0
33,5,0,39995,0
34,5,0,39995,0
35,5,0,39995,0
36,5,0,39995,0
37,5,0,39995,0
38,5,0,39995,0
39,5,0,39995,0
40,5,0,39995,0
41,5,0,39995,0
42,5,0,39995,0
43,5,0,39995,0
44,5,0,39995,0
45,5,0,39995,0
46,5,0,39995,0
47,5,0,39995,0
48,5,0,39995,0
49,5,0,39995,0
50,5,0,39995,0
51,5,0,39995,0
52,5,0,39995,0
53,5,0,39995,0
54,5,0,39995,0
55,5,0,39995,0
56,5,0,39995,0
57,5,0,39995,0
58,5,0,39995,0
59,5,0,39995,0
60,5,0,39995,0
61,5,0,39995,0
62,5,0,39995,0
63,5,0,39995,0
64,5,0,39995,0
65,5,0,39995,0
66,5,0,39995,0
67,5,0,39995,0
68,5,0,39995,0
69,5,0,39995,0
70,5,0,39995,0
71,5,0,39995,0
72,5,0,39995,0
73,5,0,39995,0
74,5,0,39995,0
75,5,0,39995,0
76,5,0,39995,0
77,5,0,39995,0
78,5,0,39995,0
79,5,0,39995,0
80,5,0,39995,0
81,5,0,39995,0
82,5,0,39995,0
83,5,0,39995,0
84,5,0,39995,0
85,5,0,39995,0
86,5,0,39995,0
87,5,0,39995,0
88,5,0,39995,0
89,5,0,39995,0
90,5,0,39995,0
91,5,0,39995,0
92,5,0,39995,0
93,5,0,39995,0
94,5,0,39995,0
95,5,0,39995,0
96,5,0,39995,0
97,5,0,39995,0
98,5,0,39995,0
99,5,0,39995,0
100,5,0,39995,0
