days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39996,4,0,0
2,39990,10,0,0
3,39969,31,0,0
4,39922,78,0,0
5,39779,221,0,0
6,39423,577,0,0
7,38392,1607,1,0
8,35567,4429,4,0
9,28827,11163,10,0
10,16907,23062,31,0
11,5360,34562,78,0
12,903,38876,221,0
13,113,39310,577,0
14,13,38379,1608,0
15,2,35565,4433,0
16,0,28827,11173,0
17,0,16907,23093,0
18,0,5360,34640,0
19,0,903,39097,0
20,0,113,39887,0
21,0,13,39987,0
22,0,2,39998,0
23,0,0,40000,0
24,0,0,40000,0
25,0,0,40000,0
26,0,0,40000,0
27,0,0,40000,0
28,0,0,40000,0
29,0,0,40000,0
30,0,0,40000,0
31,0,0,40000,0
32,0,0,40000,0
33,0,0,40000,0
34,0,0,40000,0
35,0,0,40000,0
36,0,0,40000,0
37,0,0,40000,0
38,0,0,40000,0
39,0,0,40000,0
40,0,0,40000,0
