days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39994,6,0,0
2,39971,29,0,0
3,39871,129,0,0
4,39438,562,0,0
5,37388,2612,0,0
6,29096,10904,0,0
7,9987,30012,1,0
8,395,39599,6,0
9,5,39966,29,0
10,0,39871,129,0
11,0,39438,562,0
12,0,37388,2612,0
13,0,29096,10904,0
14,0,9987,30013,0
15,0,395,39605,0
16,0,5,39995,0
17,0,0,40000,0
18,0,0,40000,0
19,0,0,40000,0
20,0,0,40000,0
21,0,0,40000,0
22,0,0,40000,0
23,0,0,40000,0
24,0,0,40000,0
25,0,0,40000,0
26,0,0,40000,0
27,0,0,40000,0
28,0,0,40000,0
29,0,0,40000,0
30,0,0,40000,0
31,0,0,40000,0
32,0,0,40000,0
33,0,0,40000,0
34,0,0,40000,0
35,0,0,40000,0
36,0,0,40000,0
37,0,0,40000,0
38,0,0,40000,0
39,0,0,40000,0
40,0,0,40000,0
