days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39973,27,0,0
2,39489,511,0,0
3,30950,9050,0,0
4,270,39730,0,0
5,0,40000,0,0
6,0,40000,0,0
7,0,39999,1,0
8,0,39973,27,0
9,0,39489,511,0
10,0,30950,9050,0
11,0,270,39730,0
12,0,0,40000,0
13,0,0,40000,0
14,0,0,40000,0
15,0,0,40000,0
16,0,0,40000,0
17,0,0,40000,0
18,0,0,40000,0
19,0,0,40000,0
20,0,0,40000,0
21,0,0,40000,0
22,0,0,40000,0
23,0,0,40000,0
24,0,0,40000,0
25,0,0,40000,0
26,0,0,40000,0
27,0,0,40000,0
28,0,0,40000,0
29,0,0,40000,0
30,0,0,40000,0
31,0,0,40000,0
32,0,0,40000,0
33,0,0,40000,0
34,0,0,40000,0
35,0,0,40000,0
36,0,0,40000,0
37,0,0,40000,0
38,0,0,40000,0
39,0,0,40000,0
40,0,0,40000,0
